新欧尚餐厅,金鸡湖路205号欧尚超市二楼铺位号603-2001, WiFi 
番禺富丽餐厅,番禺大石镇105国道大石段257-259号朝阳东路富丽城广场二楼, WiFi 全天营业 店内参观 生日餐会 
东平餐厅,东湖西路永旺惠州购物中心首层及二层, WiFi 全天营业 店内参观 生日餐会 
中六乐购餐厅,中山六281号上品轩负一层, WiFi 生日餐会 
怡华餐厅,中山三路怡华商业大厦东座首层, WiFi 全天营业 店内参观 
利埔餐厅,惠东县平山三利埔金光大厦首层, WiFi 全天营业 生日餐会 
石井餐厅,石井街张村石井桥东北侧住宅综合楼首层, WiFi 全天营业 店内参观 生日餐会 
惠州龙门餐厅,太平新路万家福购物中心首二层, WiFi 店内参观 生日餐会 
钟村餐厅,钟村镇诜敦村广路南侧天汇百货商场首层及二层, WiFi 全天营业 店内参观 生日餐会 
工业大道餐厅,金碧一街26，28，38，48，58，68，76，80号其中的首层, WiFi 全天营业 店内参观 生日餐会 
金聚餐厅,赤岗路金聚街1-19号六福华庭首层, WiFi 全天营业 店内参观 生日餐会 
陈江民乐福餐厅,陈江镇陈江圩甲子路88号民乐福商店首层, WiFi 全天营业 店内参观 生日餐会 
港丰餐厅,解放路115号港丰商场首层, WiFi 全天营业 店内参观 生日餐会 
坦洲餐厅,坦洲镇坦神北路58号首层, WiFi 全天营业 店内参观 生日餐会 
太阳城餐厅,广州大道北嘉裕太阳城广场2-59号铺首层和二层, WiFi 全天营业 店内参观 生日餐会 
大石餐厅,大石镇大涌路56号天和百货首层, WiFi 全天营业 店内参观 生日餐会 
嘉信餐厅,大良兴顺路嘉信城市广场一期, WiFi 全天营业 店内参观 生日餐会 
龙洞餐厅,龙洞街地段迎龙路6号一层及二层, WiFi 全天营业 店内参观 生日餐会 
汕尾名门餐厅,五十米大道名门御庭首层, WiFi 全天营业 店内参观 
白云机场餐厅,白云机场国内到达B2出口, WiFi 全天营业 
海三路餐厅,桂城海三路鸿大广场首层, WiFi 全天营业 店内参观 生日餐会 
梁金山广湛餐厅,月山镇开阳高速梁金山（广湛方向）服务区二层的位置, WiFi 全天营业 
梁金山湛广餐厅,月山镇开阳高速梁金山（湛广方向）服务区二层的位置, WiFi 全天营业 
玫瑰园餐厅,大福南路22号首层101房及二层201房, WiFi 全天营业 店内参观 生日餐会 
连州大道餐厅,东门中路（连州北湖影剧院东侧建筑物）首层及二层, WiFi 全天营业 店内参观 生日餐会 
省客运站餐厅,环市西路145、147、149号省客运站行包公寓楼2楼, WiFi 
天河客运站餐厅,广汕路元岗天河客运站西夹层, WiFi 
东站候车室餐厅,东站四楼候车室, WiFi 店内参观 
南站三餐厅,广州南站一楼到达层餐厅, WiFi 全天营业 店内参观 生日餐会 
伦教餐厅,伦教街道办事处常教社区居民委员会振兴路, WiFi 全天营业 店内参观 
三环餐厅,三环路工业一街2号大润发首层, WiFi 全天营业 生日餐会 
南雄餐厅,南雄三影塔广场12号楼1层, WiFi 全天营业 店内参观 生日餐会 
粤垦餐厅,粤垦路523号首层102铺, WiFi 全天营业 店内参观 生日餐会 
蕉岭府前餐厅,蕉岭镇府前路府前综合楼R8幢13-14号铺1-3层, WiFi 店内参观 生日餐会 
中山世纪餐厅,火炬开发区东镇东一路23号首层, WiFi 店内参观 生日餐会 
肯德基石楼餐厅餐厅,番禺区市莲路石楼路段108号家德福广场一层, WiFi 全天营业 店内参观 生日餐会 
清远城市广场餐厅,先锋中路18号城广场2期二、三层, WiFi 生日餐会 
勒流餐厅,勒流镇金华路6号, WiFi 全天营业 店内参观 生日餐会 
百花路餐厅,百花路8号花地人家商业区首层, WiFi 全天营业 店内参观 生日餐会 
利民餐厅,利民路明珠广场首层A1-1、2卡, WiFi 全天营业 生日餐会 
棠德南餐厅,棠德南路44-52号“乐天棠德广场”E座107-109，206-213, WiFi 全天营业 店内参观 生日餐会 
滘口客运站餐厅,芳村大道西路533号滘口汽车客运站二层, WiFi 
新平餐厅,恩城新平中路19号首、二层, WiFi 全天营业 店内参观 生日餐会 
万达广场餐厅,云城东路509号广州白云万达商业广场101铺, 店内参观 生日餐会 
北环路餐厅,瑞禾路A-03-01号一层, WiFi 店内参观 生日餐会 
长鸿花园餐厅,沿江东路6号长鸿花园裙楼首层, WiFi 全天营业 店内参观 生日餐会 
海丰地王广场餐厅,红城大道中路北侧地王广场一层及二层, WiFi 全天营业 店内参观 生日餐会 
小金口餐厅,小金口街道办事处惠州大道金宝山庄商业广场首层及二层, WiFi 全天营业 店内参观 生日餐会 
东圃四季餐厅,东圃大马路4号四季时尚荟B区2楼, WiFi 店内参观 生日餐会 
从化餐厅,江浦街从城大道28号从化汽车站首层及二层, WiFi 
乐平餐厅,乐从镇跃进路A56号顺客隆首层餐厅, WiFi 全天营业 店内参观 生日餐会 
锦绣清城餐厅,先锋东路东门塘2号大润发首层外租区第一号专柜, WiFi 店内参观 生日餐会 
南站一餐厅,广州南站三楼A区餐饮夹层（A2/A3检票口上方）, WiFi 全天营业 店内参观 生日餐会 
河源建设大道餐厅,建设大道以北大同路以西大地广场首二层, WiFi 全天营业 店内参观 生日餐会 
江门客运站餐厅,建设三路交北环路西北角地段江门汽车总站设备房对出的预留发展建设用地兴建的首层, WiFi 
南庄吉利餐厅,南庄镇南庄二马路89号吉利明珠生活广场首层及二层, WiFi 全天营业 店内参观 生日餐会 
狮岭宝峰餐厅,狮岭镇宝峰路2号宝峰皮具材料城一楼, WiFi 全天营业 
南朗餐厅,南朗镇南岐中路38号首层101号商铺, WiFi 全天营业 店内参观 生日餐会 
江霞餐厅,椹川大道1-3号首层及二层, WiFi 全天营业 店内参观 生日餐会 
南海新天地餐厅,桂平西路新天地首层A031-A034铺, WiFi 全天营业 店内参观 生日餐会 
惠景餐厅,汾江南路131号1区7座101号首层, WiFi 全天营业 店内参观 生日餐会 
棠下大舜餐厅,中山大道西 棠下大舜商务中心 首层, WiFi 全天营业 店内参观 生日餐会 
番禺东兴餐厅,石基镇东兴路476号地上一层、二层, WiFi 店内参观 生日餐会 
天州广场餐厅,天州广场地铁京溪南方医院D出口二层, 全天营业 店内参观 生日餐会 
阳山餐厅,阳城镇北门路12号北门场一层及二层, WiFi 店内参观 生日餐会 
佛平餐厅,佛平五路与桂平路交汇处太港城广场首层, WiFi 全天营业 店内参观 生日餐会 
中八站餐厅,中山八路64号公交站场调度楼及地铁B出口上盖一层及二层, WiFi 全天营业 店内参观 生日餐会 
上社餐厅,中山大道上社牌坊内博兴广场二楼, WiFi 全天营业 店内参观 生日餐会 
桥中北餐厅,桥中北路2-4号首层, WiFi 全天营业 店内参观 生日餐会 
雷州餐厅,新城大道路20号国际广场首层, WiFi 全天营业 店内参观 生日餐会 
黄石西餐厅,黄石西路188号金国广场一、二楼, WiFi 店内参观 生日餐会 
海北建设大道餐厅,黄岐金沙洲建设大道1号金沙湾财富广场首层, WiFi 全天营业 店内参观 生日餐会 
河滨路餐厅,乐从镇乐从居委会新乐从家具城西区一座首层商铺一，二，三, WiFi 全天营业 店内参观 生日餐会 
燕岭餐厅,燕岭路95号新燕大厦首层, WiFi 全天营业 生日餐会 
火车站西广场餐厅,环市西路155号之三110房和206房, WiFi 全天营业 
金逸餐厅,沙溪镇富华道65号首层及二层, WiFi 全天营业 店内参观 
冈州餐厅,会城世纪商业街2号1048、1064、109商铺及部分商场通道首层, WiFi 全天营业 店内参观 生日餐会 
梅花园餐厅,广州大道北28号一层, WiFi 全天营业 店内参观 生日餐会 
庆丰餐厅,石井街庆丰村庆丰广场路财智广场一层及二层, WiFi 全天营业 店内参观 生日餐会 
环翠北餐厅,东沙环翠北路北侧38号自编A栋35号一层及二层, WiFi 生日餐会 
北湖餐厅,罗村镇北湖一路圣地广场首层（罗村实验小学对面), WiFi 店内参观 生日餐会 
河源丽日餐厅,河源大道丽日广场首层, WiFi 全天营业 店内参观 生日餐会 
捷进餐厅,番禺桥西环路364号捷进广场首层, WiFi 全天营业 店内参观 生日餐会 
天河路餐厅,天河路97-99号, WiFi 全天营业 
增城广场餐厅,荔城街府佑路98号东汇城二层, WiFi 店内参观 生日餐会 
黄圃餐厅,黄圃镇兴圃大道西33号明悦豪庭首层, WiFi 全天营业 店内参观 生日餐会 
惠祥餐厅,为民街南惠祥商城一层, WiFi 
龙山餐厅,龙山大街与振兴路交口奥力商城一层, WiFi 店内参观 生日餐会 
益元餐厅,联盟路368号益元百货一层肯德基餐厅, WiFi 全天营业 生日餐会 
科贸街餐厅,鞍山西道与南丰路交口时代数码广场一层, WiFi 全天营业 店内参观 生日餐会 
龙泽餐厅,龙泽北路242号八方购物广场一层, WiFi 全天营业 生日餐会 
山海关餐厅,关城南路89号, WiFi 全天营业 店内参观 生日餐会 
中北餐厅,中北大道与万卉路交口物美超市一层, WiFi 生日餐会 
现代餐厅,迎宾路与兴华路交口现代商厦, WiFi 全天营业 店内参观 生日餐会 
爱特餐厅,和平西路206号西侧附楼爱特东邻, WiFi 
天河餐厅,胜利北街大街北国天河超市底商, WiFi 全天营业 店内参观 生日餐会 
泊头餐厅,解放路与建设大街交汇处泊信商厦一楼, WiFi 全天营业 店内参观 生日餐会 
茂业餐厅,文化路8号1层, WiFi 生日餐会 
钟楼餐厅,裕华西路233号, WiFi 店内参观 生日餐会 
金三角海阳餐厅,河北大街165号视听研究所一楼，金三角对面肯德基, WiFi 全天营业 生日餐会 
迁西餐厅,喜峰中路远大鸿福购物广场一层, 店内参观 生日餐会 
新泰和餐厅,钢铁街和园林路交口双子座1层, WiFi 全天营业 店内参观 生日餐会 
赛特餐厅,曹雪芹西大街5号赛特购物中心, WiFi 全天营业 店内参观 生日餐会 
金宇餐厅,兴安南路金宇文苑底铺111号, WiFi 全天营业 生日餐会 
万象餐厅,裕华西路15号与中华大街东北交叉口万象天成商务广场地下一层, WiFi 店内参观 
站前餐厅,锡林北路与车站西街交口海豪国贸大厦, WiFi 全天营业 
燕京餐厅,燕郊开发区京哈公路与迎宾路交口京客隆东, WiFi 全天营业 生日餐会 
河港餐厅,胜利北路河港青年城, WiFi 全天营业 生日餐会 
西南角餐厅,黄河道与西马路交口地铁一号线西南角3号厅, WiFi 生日餐会 
乐都汇餐厅,河北大街南侧、民族路与文化路之间乐都汇购物中心，河北大街中段115号, WiFi 全天营业 
东源餐厅,钢铁大街60号东源大厦, WiFi 全天营业 店内参观 生日餐会 
围场餐厅,美神大厦1层, WiFi 全天营业 店内参观 生日餐会 
华岩餐厅,华岩北路42号, 全天营业 店内参观 生日餐会 
盈泽元餐厅,海河南路9号盈泽元商厦, WiFi 全天营业 店内参观 生日餐会 
海亮餐厅,中山西路海亮广场地下负一层, WiFi 生日餐会 
高阳餐厅,朝阳路中段北侧高阳大世界购物中心, WiFi 店内参观 生日餐会 
王串场餐厅,王串场五号路20号一层, WiFi 店内参观 生日餐会 
民盛餐厅,额尔敦路与那达慕大街交汇民盛一楼, WiFi 全天营业 店内参观 生日餐会 
中房餐厅,杨村镇河东邮局对过红街购物底商, WiFi 全天营业 店内参观 生日餐会 
永旺餐厅,经济技术开发区泰达大街与东海路交叉口永旺梦乐城天津泰达购物中心, WiFi 店内参观 生日餐会 
新华贸餐厅,新华西道32号新华贸购物中心一层, WiFi 全天营业 店内参观 
解放路餐厅,解放西路颐和广场9#华北商厦一层, WiFi 全天营业 店内参观 生日餐会 
保利餐厅,南门外大街30#保利大厦一层, WiFi 全天营业 店内参观 生日餐会 
滦南餐厅,和平路38号银泰商厦一层, WiFi 全天营业 店内参观 生日餐会 
银河广场餐厅,青年路南、体育馆道西万达商业广场, WiFi 生日餐会 
万达广场餐厅,新华东街南侧万达商业广场, 生日餐会 
益中餐厅,中山东路与东二环交口北国超一、二层, WiFi 全天营业 生日餐会 
天津站副广场餐厅,天津站交通枢纽工程(前广场地下部分)负一层, WiFi 
津滨餐厅,津滨大道与泰昌路交口万达广场2号门一层肯德基, 店内参观 生日餐会 
奥园餐厅,北辰区辰昌路与龙泉道交口乐天超市一层, WiFi 店内参观 生日餐会 
东马路餐厅,水阁大街与东马路交口玉鼎商业楼2号楼底商一层, WiFi 店内参观 生日餐会 
兴华餐厅,兴华路与金康道交口东北角华联商厦一层, WiFi 全天营业 生日餐会 
保百餐厅,朝阳北大街916号保百购物广场南楼一层, WiFi 全天营业 
双隆餐厅,康明中路双隆商厦一层, WiFi 全天营业 店内参观 生日餐会 
肯德基大岛餐厅餐厅,友谊南路梅江南居住区公共中心区大岛商业广场一层, WiFi 店内参观 
益东餐厅,翟营南大街368号北国益东百货一楼, WiFi 全天营业 生日餐会 
新源餐厅,新开路与解放道交口新源天街商城A区人人乐购物广场一层, WiFi 店内参观 生日餐会 
吉美餐厅,胜利路与康宁街东北角吉美超西邻, WiFi 店内参观 生日餐会 
昌黎餐厅,碣阳大街与民生路交口东北角民生广场一层36号, WiFi 全天营业 店内参观 生日餐会 
新海湾餐厅,友谊南路与珠江道交口西侧凤水园2号一层, WiFi 店内参观 
华创餐厅,裕华西路华创商厦一层, WiFi 店内参观 生日餐会 
白塔机场餐厅,白塔国际机场迎客大厅一层东侧, WiFi 店内参观 生日餐会 
佛罗伦萨餐厅,前进道北侧佛罗伦萨, WiFi 
平泉餐厅,平泉镇八沟大街东侧、迎宾街南侧水岸华庭第三座38号商铺, WiFi 全天营业 店内参观 生日餐会 
友谊大街餐厅,友谊大街与恒为路交叉口华润万家一层, WiFi 店内参观 生日餐会 
南三条餐厅,南三条乐汇成西北角一层大经街与中山东路交叉口北行50米路东, WiFi 店内参观 
西站高架层餐厅,津沪高铁天津西火车站高架层C07-J07, WiFi 全天营业 店内参观 生日餐会 
天一城餐厅,新华北路235号天一广场B座, WiFi 全天营业 店内参观 
钢铁大街餐厅,钢铁大街与三八路交汇处西北角北京华联超市底店, WiFi 店内参观 生日餐会 
丰南餐厅餐厅,文化大街138号丰南商厦一层, WiFi 全天营业 店内参观 生日餐会 
集贤餐厅,京津公路以东东延吉道北侧以北新世纪集贤购物广场一楼, WiFi 店内参观 生日餐会 
京津广场餐厅,103国道东侧雍阳东道北侧京津时尚广场5区商业楼, WiFi 全天营业 生日餐会 
遵缘餐厅,文化北路金缘购物中心一层, WiFi 全天营业 生日餐会 
省院餐厅,和平西路与水源街交叉口人民医院北门东侧, WiFi 全天营业 店内参观 
尖岭万达餐厅,万达商业广场一层, 店内参观 
定兴餐厅,通兴东路南侧69号, WiFi 全天营业 店内参观 生日餐会 
餐饮楼餐厅,天津站后广场城际站房东侧综合配套楼一层, 全天营业 
新绿洲餐厅,渤海路北侧华油二连公司基地西侧新绿洲时代广场, WiFi 全天营业 店内参观 生日餐会 
乐园道餐厅,乐园道9号彩悦城阳光乐园购物中心首层, WiFi 生日餐会 
银河国际餐厅,乐园道南侧、万象城购物中心B1-059, WiFi 店内参观 
中华北餐厅,中华北大街与和平西路交叉口北行500米北国超市一楼, WiFi 店内参观 生日餐会 
廊坊万达餐厅,新华路万达广场一层, WiFi 
同盛餐厅,宣化大街77号同盛大厦一、二层, WiFi 全天营业 店内参观 生日餐会 
